"日期","价格","年份","月份"
"2020-07-31 00:00:00","360.82","2020","7月"
"2020-08-31 00:00:00","404.16","2020","8月"
"2020-09-30 00:00:00","405.73","2020","9月"
"2020-10-31 00:00:00","389.48","2020","10月"
"2020-11-30 00:00:00","402.28","2020","11月"
"2020-12-31 00:00:00","409.09","2020","12月"
"2021-01-31 00:00:00","355.44","2021","1月"
"2021-02-28 00:00:00","365.02","2021","2月"
"2021-03-31 00:00:00","263.86","2021","3月"
"2021-04-30 00:00:00","324.30","2021","4月"
"2021-05-31 00:00:00","312.35","2021","5月"
"2021-06-30 00:00:00","318.08","2021","6月"
"2021-07-31 00:00:00","347.19","2021","7月"
"2021-08-31 00:00:00","330.09","2021","8月"
"2021-09-30 00:00:00","387.78","2021","9月"
"2021-10-31 00:00:00","414.64","2021","10月"
"2021-11-30 00:00:00","442.06","2021","11月"
"2021-12-31 00:00:00","395.89","2021","12月"
"2022-01-31 00:00:00","374.15","2022","1月"
"2022-02-28 00:00:00","358.44","2022","2月"
"2022-03-31 00:00:00","364.13","2022","3月"
"2022-04-30 00:00:00","334.22","2022","4月"
"2022-05-31 00:00:00","307.62","2022","5月"
"2022-06-30 00:00:00","330.09","2022","6月"
"2022-07-31 00:00:00","334.24","2022","7月"
"2022-08-31 00:00:00","372.37","2022","8月"
"2022-09-30 00:00:00","363.36","2022","9月"
"2022-10-31 00:00:00","393.63","2022","10月"
"2022-11-30 00:00:00","408.55","2022","11月"
"2022-12-31 00:00:00","393.25","2022","12月"
"2023-01-31 00:00:00","423.28","2023","1月"
"2023-02-28 00:00:00","407.48","2023","2月"
"2023-03-31 00:00:00","380.89","2023","3月"
"2023-04-30 00:00:00","353.28","2023","4月"
"2023-05-31 00:00:00","310.82","2023","5月"
"2023-06-30 00:00:00","320.26","2023","6月"
"2023-07-31 00:00:00","322.30","2023","7月"
"2023-08-31 00:00:00","324.58","2023","8月"
"2023-09-30 00:00:00","357.45","2023","9月"
"2023-10-31 00:00:00","393.02","2023","10月"
"2023-11-30 00:00:00","445.85","2023","11月"
"2023-12-31 00:00:00","428.67","2023","12月"
"2024-01-31 00:00:00","437.56","2024","1月"
"2024-02-29 00:00:00","426.88","2024","2月"
"2024-03-31 00:00:00","375.75","2024","3月"
"2024-04-30 00:00:00","392.56","2024","4月"
"2024-05-31 00:00:00","371.36","2024","5月"
"2024-06-30 00:00:00","399.96","2024","6月"
"2024-07-31 00:00:00","335.41","2024","7月"
"2024-08-31 00:00:00","344.62","2024","8月"
"2024-09-30 00:00:00","348.34","2024","9月"
"2024-10-31 00:00:00","345.02","2024","10月"
"2024-11-30 00:00:00","415.33","2024","11月"
"2024-12-31 00:00:00","431.05","2024","12月"
"2025-01-31 00:00:00","449.69","2025","1月"
"2025-02-28 00:00:00","424.00","2025","2月"
"2025-03-31 00:00:00","467.32","2025","3月"
"2025-04-30 00:00:00","397.89","2025","4月"
"2025-05-31 00:00:00","417.10","2025","5月"
"2025-06-30 00:00:00","426.19","2025","6月"
"2025-07-31 00:00:00","342.53","2025","7月"
"2025-08-31 00:00:00","338.61","2025","8月"
"2025-09-30 00:00:00","350.14","2025","9月"
"2025-10-31 00:00:00","347.47","2025","10月"
"2025-11-30 00:00:00","345.15","2025","11月"
"2025-12-31 00:00:00","401.37","2025","12月"
